Language,Implementation,N,Run,Time (s),Memory (KB),solutions,nodes_visited,backtracks,pruned_paths,explored_placements
Java,Standard,9,2,0.1025192510001034,89364,352,8394,8393,63985,
Java,Standard,9,3,0.08702561800009789,89364,352,8394,8393,63985,
Java,Standard,9,4,0.0868157230001998,89364,352,8394,8393,63985,
Java,Standard,9,5,0.09420310099994822,89364,352,8394,8393,63985,
Java,Standard,9,6,0.10319350000008853,89364,352,8394,8393,63985,
Java,Standard,9,7,0.1001539200001389,89364,352,8394,8393,63985,
Java,Standard,9,8,0.11492429200006882,89364,352,8394,8393,63985,
Java,Standard,9,9,0.10753818500006673,89364,352,8394,8393,63985,
Java,Standard,9,10,0.09350913500020397,89364,352,8394,8393,63985,
Java,Standard,10,1,0.10681554599977972,89364,724,35539,35538,312612,
Java,Standard,10,2,0.11213954400000148,89364,724,35539,35538,312612,
Java,Standard,10,3,0.08548079199999847,89364,724,35539,35538,312612,
Java,Standard,10,4,0.08392502000015156,89364,724,35539,35538,312612,
Java,Standard,10,5,0.08364604600001257,89364,724,35539,35538,312612,
Java,Standard,10,6,0.08654816199987181,89364,724,35539,35538,312612,
Java,Standard,10,7,0.09314636499993867,89364,724,35539,35538,312612,
Java,Standard,10,8,0.08607136299997364,89364,724,35539,35538,312612,
Java,Standard,10,9,0.08274682899991603,89364,724,35539,35538,312612,
Java,Standard,10,10,0.08205024099970615,89364,724,35539,35538,312612,
Java,Standard,11,1,0.09370922500011147,89364,2680,166926,166925,1639781,
Java,Standard,11,2,0.08865029399976265,89364,2680,166926,166925,1639781,
Java,Standard,11,3,0.10683062399994014,89364,2680,166926,166925,1639781,
Java,Standard,11,4,0.089820606000103,89364,2680,166926,166925,1639781,
Java,Standard,11,5,0.09447196500013888,89364,2680,166926,166925,1639781,
Java,Standard,11,6,0.09432431899995208,89364,2680,166926,166925,1639781,
Java,Standard,11,7,0.09732167900028799,89364,2680,166926,166925,1639781,
Java,Standard,11,8,0.09774410299996816,89364,2680,166926,166925,1639781,
Java,Standard,11,9,0.10100754699988101,89364,2680,166926,166925,1639781,
Java,Standard,11,10,0.09656756000003952,89364,2680,166926,166925,1639781,
Java,Standard,12,1,0.1686410209999849,89364,14200,856189,856188,9247680,
Java,Standard,12,2,0.1733258759995806,89364,14200,856189,856188,9247680,
Java,Standard,12,3,0.1581940159999249,89364,14200,856189,856188,9247680,
Java,Standard,12,4,0.1683366809998006,89364,14200,856189,856188,9247680,
Java,Standard,12,5,0.17464377399983277,89364,14200,856189,856188,9247680,
Java,Standard,12,6,0.2243147690001024,89364,14200,856189,856188,9247680,
Java,Standard,12,7,0.18818577100000766,89364,14200,856189,856188,9247680,
Java,Standard,12,8,0.19373703599967484,89364,14200,856189,856188,9247680,
Java,Standard,12,9,0.15616590699983135,89364,14200,856189,856188,9247680,
Java,Standard,12,10,0.15457236000020202,89364,14200,856189,856188,9247680,
C++,Bitboard,4,1,0.009610170000087237,89364,2,17,,44,16
C++,Bitboard,4,2,0.00768079299996316,89364,2,17,,44,16
C++,Bitboard,4,3,0.009833880999849498,89364,2,17,,44,16
C++,Bitboard,4,4,0.007780303999879834,89364,2,17,,44,16
C++,Bitboard,4,5,0.010752094000054058,89364,2,17,,44,16
C++,Bitboard,4,6,0.007798134000040591,89364,2,17,,44,16
C++,Bitboard,4,7,0.009474385999965307,89364,2,17,,44,16
C++,Bitboard,4,8,0.007530580000093323,89364,2,17,,44,16
C++,Bitboard,4,9,0.009763257000031444,89364,2,17,,44,16
C++,Bitboard,4,10,0.00832557400008227,89364,2,17,,44,16
C++,Bitboard,5,1,0.008360337000340223,89364,10,54,,167,53
C++,Bitboard,5,2,0.009002130999760993,89364,10,54,,167,53
C++,Bitboard,5,3,0.007517730000017764,89364,10,54,,167,53
C++,Bitboard,5,4,0.00900223000007827,89364,10,54,,167,53
C++,Bitboard,5,5,0.007736275999832287,89364,10,54,,167,53
C++,Bitboard,5,6,0.00986545700015995,89364,10,54,,167,53
C++,Bitboard,5,7,0.009254644000066037,89364,10,54,,167,53
C++,Bitboard,5,8,0.009836770000219985,89364,10,54,,167,53
C++,Bitboard,5,9,0.007846644999972341,89364,10,54,,167,53
C++,Bitboard,5,10,0.00876007600027151,89364,10,54,,167,53
C++,Bitboard,6,1,0.007782495999890671,89364,4,153,,742,152
C++,Bitboard,6,2,0.009289806000197132,89364,4,153,,742,152
C++,Bitboard,6,3,0.008062401000188402,89364,4,153,,742,152
C++,Bitboard,6,4,0.009563436999997066,89364,4,153,,742,152
C++,Bitboard,6,5,0.00798221500008367,89364,4,153,,742,152
C++,Bitboard,6,6,0.00873875900015264,89364,4,153,,742,152
C++,Bitboard,6,7,0.008424187999935384,89364,4,153,,742,152
C++,Bitboard,6,8,0.008576095000080386,89364,4,153,,742,152
C++,Bitboard,6,9,0.00852509399965129,89364,4,153,,742,152
C++,Bitboard,6,10,0.008568623999963165,89364,4,153,,742,152
C++,Bitboard,7,1,0.008701903000201128,89364,40,552,,3033,551
C++,Bitboard,7,2,0.008338822000041546,89364,40,552,,3033,551
C++,Bitboard,7,3,0.009355150999908801,89364,40,552,,3033,551
C++,Bitboard,7,4,0.007576798000172857,89364,40,552,,3033,551
C++,Bitboard,7,5,0.010239397000077588,89364,40,552,,3033,551
C++,Bitboard,7,6,0.007544425999640225,89364,40,552,,3033,551
C++,Bitboard,7,7,0.01040016899969487,89364,40,552,,3033,551
C++,Bitboard,7,8,0.007557076000011875,89364,40,552,,3033,551
C++,Bitboard,7,9,0.009935981999660726,89364,40,552,,3033,551
C++,Bitboard,7,10,0.007465233999937482,89364,40,552,,3033,551
C++,Bitboard,8,1,0.009609457999886217,89364,92,2057,,13664,2056
C++,Bitboard,8,2,0.010540819000198098,89364,92,2057,,13664,2056
C++,Bitboard,8,3,0.00873507400001472,89364,92,2057,,13664,2056
C++,Bitboard,8,4,0.011182811000253423,89364,92,2057,,13664,2056
C++,Bitboard,8,5,0.009102438999889273,89364,92,2057,,13664,2056
C++,Bitboard,8,6,0.010540919000050053,89364,92,2057,,13664,2056
C++,Bitboard,8,7,0.011634845000116911,89364,92,2057,,13664,2056
C++,Bitboard,8,8,0.008715052000297874,89364,92,2057,,13664,2056
C++,Bitboard,8,9,0.010544405000018742,89364,92,2057,,13664,2056
C++,Bitboard,8,10,0.008862375999797223,89364,92,2057,,13664,2056
C++,Bitboard,9,1,0.011220663000131026,89364,352,8394,,63985,8393
C++,Bitboard,9,2,0.011591812999995454,89364,352,8394,,63985,8393
C++,Bitboard,9,3,0.0082576390000213,89364,352,8394,,63985,8393
C++,Bitboard,9,4,0.01166771600037464,89364,352,8394,,63985,8393
C++,Bitboard,9,5,0.011023233999821969,89364,352,8394,,63985,8393
C++,Bitboard,9,6,0.007808094999745663,89364,352,8394,,63985,8393
C++,Bitboard,9,7,0.009822524999890447,89364,352,8394,,63985,8393
C++,Bitboard,9,8,0.00785501199970895,89364,352,8394,,63985,8393
